step,metric,value
141,learning_rate,0.00034903640256959316
141,mean_token_accuracy,0.5287756845355034
141,epoch,0.301523656776263
142,loss,1.983
142,grad_norm,0.786418080329895
142,learning_rate,0.00034796573875803
142,mean_token_accuracy,0.5423231869935989
142,epoch,0.3036621224271585
143,loss,1.9099
143,grad_norm,0.6576945185661316
143,learning_rate,0.00034689507494646684
143,mean_token_accuracy,0.54926797747612
143,epoch,0.305800588078054
144,loss,1.9831
144,grad_norm,0.5997913479804993
144,learning_rate,0.00034582441113490363
144,mean_token_accuracy,0.5432481914758682
144,epoch,0.3079390537289495
145,loss,2.0415
145,grad_norm,0.5415087938308716
145,learning_rate,0.00034475374732334047
145,mean_token_accuracy,0.5232342295348644
145,epoch,0.31007751937984496
146,loss,1.8854
146,grad_norm,0.5426669716835022
146,learning_rate,0.0003436830835117773
146,mean_token_accuracy,0.5626300573348999
146,epoch,0.31221598503074044
147,loss,2.0172
147,grad_norm,0.5579291582107544
147,learning_rate,0.0003426124197002141
147,mean_token_accuracy,0.5313361287117004
147,epoch,0.3143544506816359
148,loss,2.0241
148,grad_norm,0.5655955076217651
148,learning_rate,0.000341541755888651
148,mean_token_accuracy,0.524080578237772
148,epoch,0.3164929163325314
149,loss,1.982
149,grad_norm,0.5524481534957886
149,learning_rate,0.00034047109207708783
149,mean_token_accuracy,0.5265454053878784
149,epoch,0.3186313819834269
150,loss,1.955
150,grad_norm,0.549734354019165
150,learning_rate,0.0003394004282655246
150,mean_token_accuracy,0.5365640893578529
150,epoch,0.32076984763432237
151,loss,2.0372
151,grad_norm,0.518970787525177
151,learning_rate,0.00033832976445396146
151,mean_token_accuracy,0.5308784171938896
151,epoch,0.32290831328521785
152,loss,1.9582
152,grad_norm,0.565412163734436
152,learning_rate,0.0003372591006423983
152,mean_token_accuracy,0.5407020822167397
152,epoch,0.32504677893611333
153,loss,1.9467
153,grad_norm,0.4899691045284271
153,learning_rate,0.00033618843683083514
